Id,SalePrice
1461,120166.24223684006
1462,153640.63756246393
1463,180539.90798354003
1464,198005.18141865436
1465,198846.32660671364
1466,166281.58170933335
1467,177468.1273826678
1468,160333.43775203874
1469,190484.81270578862
1470,120294.9151383069
1471,180039.29642495248
1472,96951.35499268229
1473,93501.91718463841
1474,142734.95888681934
1475,105391.68702167709
1476,351326.14655131655
1477,246411.59729025347
1478,301158.79769973445
1479,294577.85127959313
1480,456838.80265272787
1481,339717.92886964296
1482,214035.15460563631
1483,179132.7392264355
1484,164212.719297083
1485,202696.88270654285
1486,193507.25609615713
1487,344556.515223151
1488,238120.35137845905
1489,189857.5914077221
1490,240509.6935772644
1491,196207.5773458965
1492,92565.12928029746
1493,188430.45743007454
1494,294983.06691279035
1495,292194.6558257545
1496,233722.94103315612
1497,175071.1966307846
1498,178022.26169882622
1499,171377.45221044714
1500,157718.11679894885
1501,172899.49080646064
1502,147707.6522333873
1503,287998.64579317154
1504,244910.94593087127
1505,228162.25373103065
1506,185702.9153558555
1507,235537.53800254455
1508,206223.16774303257
1509,161253.7646496255
1510,144802.42561959336
1511,155032.1349622816
1512,173708.7982591833
1513,145747.1345502404
1514,154475.56824884444
1515,187419.39073876047
1516,157516.2855427218
1517,171111.08180333386
1518,130668.16372889162
1519,209502.24815140953
1520,127301.41695536846
1521,128675.63317524186
1522,176962.3445855015
1523,108702.72356450035
1524,122417.13718349002
1525,118345.3381176898
1526,108887.33625547527
1527,107681.14611217775
1528,137450.78388015192
1529,153076.35708649384
1530,192890.10027211223
1531,107922.41192899455
1532,98044.12080539616
1533,142863.54036204237
1534,127313.07663070873
1535,142710.05812846156
1536,108588.30996139828
1537,60337.37082515852
1538,152123.17107038377
1539,187712.6686595391
1540,90474.89911900887
1541,139776.45102662093
1542,134378.88970296402
1543,176702.20774530625
1544,89997.10127084935
1545,117003.81030481243
1546,141810.96098323166
1547,133182.7220189541
1548,137602.25148210418
1549,119345.41807855955
1550,137839.93651472934
1551,107207.38135569848
1552,130481.19211777857
1553,140831.61638706469
1554,115130.15230944357
1555,159084.70580376696
1556,88446.4853017847
1557,103829.2643865597
1558,106930.27808634033
1559,71968.83090103269
1560,131219.91146584443
1561,118697.75114478658
1562,132680.30474919162
1563,118759.51746363343
1564,153724.29865276036
